File_Name,Model,Optimized_Parameters,MAE,F2
data/drug_release/306..csv,weibull,[22.10367999  0.44134447],2.4577965910730115,76.76314379033627
data/drug_release/308..csv,weibull,[15.23875695  0.565142  ],3.0357627598652073,72.86448785690634
data/drug_release/309..csv,weibull,[3.59439211 0.5711289 ],2.910473893480757,73.13749058912808
data/drug_release/310..csv,weibull,[4.08226698 0.21844182],5.084124054055818,60.150490337677766
data/drug_release/311..csv,weibull,[4.8769094  0.41227165],3.6909533805176373,68.57215385231173
data/drug_release/312..csv,weibull,[2.41540933 0.57299847],7.690823558542276,54.460650395165885
data/drug_release/313..csv,weibull,[3.04679269 0.43105   ],4.396198642741138,60.76012748389413
data/drug_release/314..csv,weibull,[12.72547106  0.44302477],0.575777326710336,95.4075562988756
data/drug_release/315..csv,weibull,[11.88580038  0.41236837],0.6952248767344893,93.3733049595705
data/drug_release/316..csv,weibull,[20.42195259  0.40098472],0.482212301488982,95.82790332852387
data/drug_release/317..csv,weibull,[17.64838422  0.42210641],0.5518394729780971,95.34450377395429
