file,alpha,beta,PC1,PC2,cluster,cluster_name,color_order
3,14.283196539275716,0.307358304841534,-26.499431010248706,3.314225104319697,2,Slow,2
4,30.029835345681413,0.3035223255096889,-31.300295430012255,3.6498215249460175,2,Slow,2
47,4.875659688482766,0.2388513753096737,-14.724019163542929,4.054158033520769,2,Slow,2
50,7.220446115108699,0.4346425285920186,-13.621482152992392,0.9195637658189504,0,Medium,1
53,6.004084824153156,0.3824731552742741,-12.487035870239477,1.627768707165268,0,Medium,1
54,64.07921060613363,0.2436799812680441,-33.993911469400565,3.9533999739460666,2,Slow,2
56,17.09299080000859,0.4638904744608694,-24.66002434518983,1.9679864415521544,2,Slow,2
57,97.57575938382206,0.789684670035587,-31.171647965060423,2.2908554926876916,2,Slow,2
58,130.63020362615288,0.8463123865530392,-31.78701942476774,2.414438942507326,2,Slow,2
59,28.428880419937112,1.4323761956376198,7.232721462222422,-13.313531492840704,0,Medium,1
60,0.9922712232628744,0.313112804474057,25.454041119984232,9.009005995857903,1,Fast,0
61,28.9109368728411,1.425527877138646,6.656442662250289,-13.215530197754815,0,Medium,1
62,17.910535149595518,1.8964600441307424,22.736966398465423,-10.122085187458909,1,Fast,0
70,10.180528352933177,0.5890211116479696,-13.132556461464022,-1.1384843207413498,0,Medium,1
71,14.895531153059355,0.9741491900262907,-1.8607728667364432,-7.698136757243433,0,Medium,1
72,28.515267085381,1.1801639788057916,-4.633236842252694,-8.956539816797516,0,Medium,1
73,8.632391236733858,0.8564589425248837,3.7879739822826117,-7.061394537655101,0,Medium,1
74,21.27936957431748,1.5321270222569707,15.006050078722685,-13.348705109191373,1,Fast,0
75,3.294119740759149,1.0137392938983332,25.603968790270745,-3.3645138128416288,1,Fast,0
76,33.32944484371325,1.2327485427451752,-5.082090358108923,-9.237788626098009,0,Medium,1
77,30.481475854505845,1.4619551961071977,7.231314088065892,-13.53043991146779,0,Medium,1
78,25.30096563850932,1.6120047698921542,14.90933209469425,-13.821243669104511,1,Fast,0
79,4.5140045163087565,1.099455973934938,23.765105859528934,-5.713826349916746,1,Fast,0
80,4.698586816487718,1.054720405472832,22.435671100914234,-6.30842437000151,1,Fast,0
81,4.054689786076707,0.7282234633356867,13.942369785124043,-4.7297621619510455,1,Fast,0
82,3.9336460630757593,0.9328695036306384,21.873658363287305,-5.339974594923546,1,Fast,0
83,8.798468029658906,0.7511536457245703,-2.2064586984955814,-4.932441621518405,0,Medium,1
84,9.55321604084535,0.7810869463714118,-2.4268457116118447,-5.303692794120384,0,Medium,1
85,4.207740223219615,0.6163062022719528,7.479427847859943,-3.197712323512485,0,Medium,1
86,3.415490013148543,0.8178053998736109,20.69758440315968,-4.3518608829591425,1,Fast,0
87,2.816887833378257,1.1166655599405038,28.068959846735115,-1.1439025665559877,1,Fast,0
88,2.137355576030717,1.1378366190233964,29.896268737426745,1.6268289838289922,1,Fast,0
89,9.639391398839267,0.7856223630485542,-2.3835999474885745,-5.369721465875205,0,Medium,1
91,9.709654006969334,0.7945914089932868,-2.069435869881401,-5.533813712916632,0,Medium,1
92,9.819638119735696,0.8166375079232255,-1.1524040314309705,-5.955473258841927,0,Medium,1
94,56.87197381182145,0.2891131068734828,-33.51729896756641,3.8455517508114334,2,Slow,2
95,90.32799982260676,0.4650054061410464,-33.60749624390135,3.554492064048873,2,Slow,2
96,299.9999994300905,0.5012309094879908,-35.14300633994171,3.841698649169655,2,Slow,2
97,215.9080515547215,0.5112530146882646,-34.819967409552916,3.762919989827009,2,Slow,2
98,3.521438317898359,0.5432008951171313,7.787312427306685,-1.6846485151196429,0,Medium,1
99,9.43396943634163,0.7756401087347654,-2.440002900226884,-5.229790376883977,0,Medium,1
100,10.05635889041747,0.792783617998244,-2.9258666557693087,-5.379679131509654,0,Medium,1
101,15.471816811819302,0.9354242252328148,-4.641188759680906,-6.70784110782668,0,Medium,1
102,16.4606652055902,0.9005054790339183,-7.651015224362713,-5.656418440070343,0,Medium,1
103,20.878113366561813,1.031630890849829,-5.858056121210004,-7.352994016084482,0,Medium,1
104,1.5797534341432198,0.673174370398607,27.90081041912473,2.728502259256459,1,Fast,0
105,7.580100671902276,0.8697415953307558,7.318509135943216,-7.438524781249665,0,Medium,1
106,37.62263640763288,0.8979105227992733,-21.241309310172188,-1.5997844468613913,2,Slow,2
107,16.943110326379912,0.9812537627814684,-4.173669877933637,-7.281657838882899,0,Medium,1
108,25.609709178748183,1.3833623818179093,7.038451720195029,-12.9232978256711,0,Medium,1
109,74.53845503139917,1.539262601924798,-5.465154885925316,-11.113286659391093,0,Medium,1
110,18.783405001747827,1.01862137048543,-4.382951356081512,-7.599823308165152,0,Medium,1
111,14.281141445049323,0.7952744448219966,-9.988309613850545,-4.040559244538182,0,Medium,1
112,15.44848911883108,0.9433053065120948,-4.207418653014667,-6.885026149236278,0,Medium,1
113,12.393535917993429,0.7986788898745715,-7.016002017399737,-4.715034960345242,0,Medium,1
114,15.482408920357283,0.8840288768062413,-7.247363396367713,-5.585828093194323,0,Medium,1
115,18.77870256151294,1.0116576627822964,-4.730376690871583,-7.449464207345386,0,Medium,1
116,17.892912414788967,0.995340751990351,-4.5738605835618005,-7.328785847555302,0,Medium,1
117,14.81020543396419,0.914876614658718,-4.788053692272566,-6.4594529883206135,0,Medium,1
118,12.419648325375649,0.8934350918184203,-2.1975067375506487,-6.732813212197529,0,Medium,1
119,6.704804050964124,0.726891541768389,2.594668646775595,-5.066410809096061,0,Medium,1
120,5.585685860429539,0.7131130982318489,6.04382133449619,-4.978779364086952,0,Medium,1
121,15.53873647546935,0.9447690032959134,-4.253012455982368,-6.890394673087361,0,Medium,1
122,92.63374992006828,1.0274810306489104,-27.004458721620352,0.08224693945989517,2,Slow,2
123,29.24032757785369,0.8952603727711941,-17.888655444838594,-2.7018709421473672,2,Slow,2
124,18.514365275023515,1.0106477712562552,-4.493391896662297,-7.496676081818062,0,Medium,1
125,8.166341836534055,0.9111975633477112,7.78016963911187,-8.026177749157736,0,Medium,1
127,5.180156391704936,0.5243057946120917,-2.4100264080384144,-1.337788914100895,0,Medium,1
131,5.39133285133269,0.4965062439324769,-4.775931858930602,-0.7164565667855849,0,Medium,1
132,2.961770904844444,0.3536949951283639,1.5667635445918178,2.305222297543695,0,Medium,1
