file_name,Zero_order,First_order,Higuchi,Korsmeyer_Peppas,Weibull,Reciprocal,time (Hrs),Experimental release %
data/drug_release/3..csv,0.09555862384764201,0.10442461139599235,1.1244896567075362,2.862591970000063,2.824198906508113,0.5604673165742968,0.054624999999997925,4.6249999999999964
data/drug_release/3..csv,0.8849559512847176,0.9629021046913988,3.4220105865526635,5.51723803631476,5.519987889165156,3.9234209100312993,0.5058749999999996,5.874999999999993
data/drug_release/3..csv,1.7602904392987349,1.9062138323499345,4.8262819175994345,6.757178915672594,6.7742804943418005,6.1417554962419665,1.0062499999999996,6.249999999999993
data/drug_release/3..csv,3.4674441609888227,3.7201715967969062,6.773689103569966,8.252013319036905,8.27702765850834,8.547211100546733,1.9821249999999981,7.124999999999993
data/drug_release/3..csv,5.2622844002141695,5.591140760666635,8.344641426860566,9.331813815531497,9.354702514573777,9.912597153504871,3.0081249999999997,8.124999999999996
data/drug_release/3..csv,8.76537170922855,9.138728312031908,10.769751698052275,10.84653554983617,10.853814617081103,11.307199490392353,5.010625000000001,10.624999999999996
data/drug_release/3..csv,12.2688963574825,12.553426838161318,12.741579565052321,11.97681115355108,11.9620582232705,12.033431621888765,7.013374999999998,13.375
data/drug_release/3..csv,17.517185902030196,17.430054527584883,15.224838383190102,13.302508997102558,13.249925465877787,12.642066865422505,10.013499999999999,13.499999999999996
data/drug_release/4..csv,0.00033805778635534575,0.0003529373475141817,0.04687691691519571,0.323369204884642,0.3104276189497268,0.0024440463256699286,0.00040469718533131527,0.3541100371646948
data/drug_release/4..csv,0.43936243633290617,0.4576512858589621,1.6899545732163652,2.708066861030407,2.7028164670634403,2.1613844852701365,0.5259714418686237,2.1991919546199625
data/drug_release/4..csv,0.8379325664456243,0.8710002049098886,2.3338240110971133,3.2791986048206634,3.278223265359781,3.1951444537429197,1.0031094233739637,3.1940725352255157
data/drug_release/4..csv,1.6744002158170421,1.7329111129770092,3.2990827159089418,4.026080559826129,4.029124367128556,4.3376211554125,2.004465158944825,4.617594884627579
data/drug_release/4..csv,2.5096846629362135,2.586124513089949,4.03899343393334,4.539195331307249,4.543589280542271,4.924723578061753,3.004404454367023,4.553855077937932
data/drug_release/4..csv,4.180816986818484,4.270954422576157,5.213077090754636,5.280500038052746,5.284389275798795,5.523788444786173,5.004957540520309,5.134595538888032
data/drug_release/4..csv,5.852512740344678,5.927197580116017,6.1678634840473,5.834108513170702,5.835507040722443,5.8278958250879125,7.006185121982476,6.423556074167507
data/drug_release/4..csv,8.35814070984463,8.356156114768131,7.3708641673230595,6.484083120448476,6.480048846318587,6.078806458497899,10.005733210125527,5.949048624366824
data/drug_release/23..csv,4.614260150163855,29.833986502688546,24.190886722998098,39.98599935290105,3.9923468685870045,31.24897766700809,0.03139860541899034,0.9047529094836477
data/drug_release/23..csv,5.615444768149962,35.025943533296925,26.686574412549472,42.55546993518267,8.26914751676171,36.01949928740339,0.038211355404617404,10.141511371009472
data/drug_release/23..csv,13.303866729055985,63.99591860472591,41.076146353040116,55.944677086029564,90.30890884083048,60.70115040775764,0.09052867596934883,90.18750461985759
data/drug_release/23..csv,24.851586840667956,85.1657276501367,56.140698541601246,68.20660862851044,99.99999999910635,79.09511098699511,0.16910732031833894,101.24559573576879
data/drug_release/23..csv,49.5595438205278,97.77504020904448,79.28013843199143,84.89855595291613,100.0,95.76237946437944,0.3372372840986556,97.87691878085037
data/drug_release/23..csv,74.27232869486858,99.66640687762343,97.05418568931795,96.52147189389304,100.0,103.02816711879518,0.5054001001995779,98.02475422357647
data/drug_release/23..csv,147.4233788965375,99.99878709773718,136.73633342575573,119.96449793719576,100.0,111.4420545833553,1.0031702489384595,99.3414752334568
data/drug_release/24..csv,4.676777126679501,31.39096657263718,24.60643096278521,41.19173295419098,4.196891206785224,32.63522521909366,0.03139039233883884,0.025624810072514492
data/drug_release/24..csv,5.3589600801394175,35.05961044409061,26.339986622220163,42.98412697292329,7.336195032064041,35.99959078713046,0.03596918452327173,10.139540231773111
data/drug_release/24..csv,12.826263171599816,64.41486200403455,40.74978881853132,56.47701402218809,95.20087996866874,61.167460728461144,0.08608950614749045,95.01876688814608
data/drug_release/24..csv,25.528938041317218,87.21027846083975,57.489914630563575,70.0459124394315,100.0,81.51835385702068,0.17134949119968462,101.24756687500513
data/drug_release/24..csv,50.24782206435559,98.25392777555105,80.6554856103261,86.57196947864854,100.0,97.65770708612101,0.33726192333911,100.51430307908375
data/drug_release/24..csv,75.29953794988916,99.76792995925105,98.73507144161412,98.24973080073352,100.0,104.7859560841204,0.5054083132797292,98.90388232298758
data/drug_release/24..csv,149.79636376081922,99.99942545860489,139.25985052488005,121.83511558003741,100.0,113.01457718876549,1.005428845980108,101.1017025715154
data/drug_release/27..csv,4.5462553085406165,18.22102842395705,21.783805284528764,30.142860273845077,15.29934559290773,21.481197087188352,0.034920634920634915,2.1378381686864714
data/drug_release/27..csv,10.74569436564145,37.839197187362636,33.49068865104128,41.788454841499906,35.94297727837715,40.540482038428486,0.08253968253968248,42.82825315216061
data/drug_release/27..csv,21.491388731282917,61.36034593688417,47.362986103517294,54.37210630975536,62.70752433616913,60.08904621823077,0.16507936507936508,66.83902558452688
data/drug_release/27..csv,43.3960733997059,85.34030987026108,67.30263275331107,71.00260430617918,89.01403550980676,79.41936034531322,0.3333333333333334,85.86118251928022
data/drug_release/27..csv,65.30075806812889,94.43818740331044,82.55928959488539,82.92201640935988,97.06706630466692,88.82346778676292,0.5015873015873018,88.8422083486351
